Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","41","China, mainland","115","Cambodia","5910","Export Quantity","515","Apples","2017","2017","tonnes","22","","Official data"
"TM","Detailed trade matrix","41","China, mainland","115","Cambodia","5922","Export Value","515","Apples","2017","2017","1000 US$","32","","Official data"
"TM","Detailed trade matrix","41","China, mainland","96","China, Hong Kong SAR","5910","Export Quantity","515","Apples","2017","2017","tonnes","21921","","Official data"
"TM","Detailed trade matrix","41","China, mainland","96","China, Hong Kong SAR","5922","Export Value","515","Apples","2017","2017","1000 US$","40820","","Official data"
"TM","Detailed trade matrix","41","China, mainland","128","China, Macao SAR","5910","Export Quantity","515","Apples","2017","2017","tonnes","3243","","Official data"
"TM","Detailed trade matrix","41","China, mainland","128","China, Macao SAR","5922","Export Value","515","Apples","2017","2017","1000 US$","2223","","Official data"
"TM","Detailed trade matrix","41","China, mainland","116","Democratic People's Republic of Korea","5910","Export Quantity","515","Apples","2017","2017","tonnes","78628","","Official data"
"TM","Detailed trade matrix","41","China, mainland","116","Democratic People's Republic of Korea","5922","Export Value","515","Apples","2017","2017","1000 US$","41318","","Official data"
"TM","Detailed trade matrix","41","China, mainland","100","India","5910","Export Quantity","515","Apples","2017","2017","tonnes","131258","","Official data"
"TM","Detailed trade matrix","41","China, mainland","100","India","5922","Export Value","515","Apples","2017","2017","1000 US$","127516","","Official data"
"TM","Detailed trade matrix","41","China, mainland","101","Indonesia","5910","Export Quantity","515","Apples","2017","2017","tonnes","117135","","Official data"
"TM","Detailed trade matrix","41","China, mainland","101","Indonesia","5922","Export Value","515","Apples","2017","2017","1000 US$","134292","","Official data"
"TM","Detailed trade matrix","41","China, mainland","102","Iran (Islamic Republic of)","5910","Export Quantity","515","Apples","2017","2017","tonnes","21","","Official data"
"TM","Detailed trade matrix","41","China, mainland","102","Iran (Islamic Republic of)","5922","Export Value","515","Apples","2017","2017","1000 US$","25","","Official data"
"TM","Detailed trade matrix","41","China, mainland","103","Iraq","5910","Export Quantity","515","Apples","2017","2017","tonnes","325","","Official data"
"TM","Detailed trade matrix","41","China, mainland","103","Iraq","5922","Export Value","515","Apples","2017","2017","1000 US$","250","","Official data"
"TM","Detailed trade matrix","41","China, mainland","108","Kazakhstan","5910","Export Quantity","515","Apples","2017","2017","tonnes","74347","","Official data"
"TM","Detailed trade matrix","41","China, mainland","108","Kazakhstan","5922","Export Value","515","Apples","2017","2017","1000 US$","92164","","Official data"
"TM","Detailed trade matrix","41","China, mainland","118","Kuwait","5910","Export Quantity","515","Apples","2017","2017","tonnes","611","","Official data"
"TM","Detailed trade matrix","41","China, mainland","118","Kuwait","5922","Export Value","515","Apples","2017","2017","1000 US$","470","","Official data"
"TM","Detailed trade matrix","41","China, mainland","113","Kyrgyzstan","5910","Export Quantity","515","Apples","2017","2017","tonnes","4607","","Official data"
"TM","Detailed trade matrix","41","China, mainland","113","Kyrgyzstan","5922","Export Value","515","Apples","2017","2017","1000 US$","5315","","Official data"
"TM","Detailed trade matrix","41","China, mainland","120","Lao People's Democratic Republic","5910","Export Quantity","515","Apples","2017","2017","tonnes","23","","Official data"
"TM","Detailed trade matrix","41","China, mainland","120","Lao People's Democratic Republic","5922","Export Value","515","Apples","2017","2017","1000 US$","34","","Official data"
"TM","Detailed trade matrix","41","China, mainland","131","Malaysia","5910","Export Quantity","515","Apples","2017","2017","tonnes","34684","","Official data"
"TM","Detailed trade matrix","41","China, mainland","131","Malaysia","5922","Export Value","515","Apples","2017","2017","1000 US$","41097","","Official data"
"TM","Detailed trade matrix","41","China, mainland","132","Maldives","5910","Export Quantity","515","Apples","2017","2017","tonnes","59","","Official data"
"TM","Detailed trade matrix","41","China, mainland","132","Maldives","5922","Export Value","515","Apples","2017","2017","1000 US$","60","","Official data"
"TM","Detailed trade matrix","41","China, mainland","141","Mongolia","5910","Export Quantity","515","Apples","2017","2017","tonnes","2338","","Official data"
"TM","Detailed trade matrix","41","China, mainland","141","Mongolia","5922","Export Value","515","Apples","2017","2017","1000 US$","477","","Official data"
"TM","Detailed trade matrix","41","China, mainland","28","Myanmar","5910","Export Quantity","515","Apples","2017","2017","tonnes","71333","","Official data"
"TM","Detailed trade matrix","41","China, mainland","28","Myanmar","5922","Export Value","515","Apples","2017","2017","1000 US$","94636","","Official data"
"TM","Detailed trade matrix","41","China, mainland","149","Nepal","5910","Export Quantity","515","Apples","2017","2017","tonnes","66063","","Official data"
"TM","Detailed trade matrix","41","China, mainland","149","Nepal","5922","Export Value","515","Apples","2017","2017","1000 US$","58004","","Official data"
"TM","Detailed trade matrix","41","China, mainland","221","Oman","5910","Export Quantity","515","Apples","2017","2017","tonnes","485","","Official data"
"TM","Detailed trade matrix","41","China, mainland","221","Oman","5922","Export Value","515","Apples","2017","2017","1000 US$","450","","Official data"
"TM","Detailed trade matrix","41","China, mainland","165","Pakistan","5910","Export Quantity","515","Apples","2017","2017","tonnes","17808","","Official data"
"TM","Detailed trade matrix","41","China, mainland","165","Pakistan","5922","Export Value","515","Apples","2017","2017","1000 US$","23834","","Official data"
"TM","Detailed trade matrix","41","China, mainland","299","Palestine","5910","Export Quantity","515","Apples","2017","2017","tonnes","123","","Official data"
"TM","Detailed trade matrix","41","China, mainland","299","Palestine","5922","Export Value","515","Apples","2017","2017","1000 US$","181","","Official data"
"TM","Detailed trade matrix","41","China, mainland","171","Philippines","5910","Export Quantity","515","Apples","2017","2017","tonnes","131548","","Official data"
"TM","Detailed trade matrix","41","China, mainland","171","Philippines","5922","Export Value","515","Apples","2017","2017","1000 US$","152526","","Official data"
"TM","Detailed trade matrix","41","China, mainland","179","Qatar","5910","Export Quantity","515","Apples","2017","2017","tonnes","1956","","Official data"
"TM","Detailed trade matrix","41","China, mainland","179","Qatar","5922","Export Value","515","Apples","2017","2017","1000 US$","1907","","Official data"
"TM","Detailed trade matrix","41","China, mainland","194","Saudi Arabia","5910","Export Quantity","515","Apples","2017","2017","tonnes","12997","","Official data"
"TM","Detailed trade matrix","41","China, mainland","194","Saudi Arabia","5922","Export Value","515","Apples","2017","2017","1000 US$","12153","","Official data"
"TM","Detailed trade matrix","41","China, mainland","200","Singapore","5910","Export Quantity","515","Apples","2017","2017","tonnes","16782","","Official data"
"TM","Detailed trade matrix","41","China, mainland","200","Singapore","5922","Export Value","515","Apples","2017","2017","1000 US$","21090","","Official data"
"TM","Detailed trade matrix","41","China, mainland","38","Sri Lanka","5910","Export Quantity","515","Apples","2017","2017","tonnes","15179","","Official data"
"TM","Detailed trade matrix","41","China, mainland","38","Sri Lanka","5922","Export Value","515","Apples","2017","2017","1000 US$","13596","","Official data"
"TM","Detailed trade matrix","41","China, mainland","208","Tajikistan","5910","Export Quantity","515","Apples","2017","2017","tonnes","107","","Official data"
"TM","Detailed trade matrix","41","China, mainland","208","Tajikistan","5922","Export Value","515","Apples","2017","2017","1000 US$","128","","Official data"
"TM","Detailed trade matrix","41","China, mainland","216","Thailand","5910","Export Quantity","515","Apples","2017","2017","tonnes","117247","","Official data"
"TM","Detailed trade matrix","41","China, mainland","216","Thailand","5922","Export Value","515","Apples","2017","2017","1000 US$","157840","","Official data"
"TM","Detailed trade matrix","41","China, mainland","176","Timor-Leste","5910","Export Quantity","515","Apples","2017","2017","tonnes","633","","Official data"
"TM","Detailed trade matrix","41","China, mainland","176","Timor-Leste","5922","Export Value","515","Apples","2017","2017","1000 US$","1000","","Official data"
"TM","Detailed trade matrix","41","China, mainland","225","United Arab Emirates","5910","Export Quantity","515","Apples","2017","2017","tonnes","19721","","Official data"
"TM","Detailed trade matrix","41","China, mainland","225","United Arab Emirates","5922","Export Value","515","Apples","2017","2017","1000 US$","27127","","Official data"
"TM","Detailed trade matrix","41","China, mainland","237","Viet Nam","5910","Export Quantity","515","Apples","2017","2017","tonnes","105669","","Official data"
"TM","Detailed trade matrix","41","China, mainland","237","Viet Nam","5922","Export Value","515","Apples","2017","2017","1000 US$","174548","","Official data"
"TM","Detailed trade matrix","214","China, Taiwan Province of","96","China, Hong Kong SAR","5910","Export Quantity","515","Apples","2017","2017","tonnes","22","","Official data"
"TM","Detailed trade matrix","214","China, Taiwan Province of","96","China, Hong Kong SAR","5922","Export Value","515","Apples","2017","2017","1000 US$","31","","Official data"
"TM","Detailed trade matrix","214","China, Taiwan Province of","128","China, Macao SAR","5910","Export Quantity","515","Apples","2017","2017","tonnes","0","","Official data"
"TM","Detailed trade matrix","214","China, Taiwan Province of","128","China, Macao SAR","5922","Export Value","515","Apples","2017","2017","1000 US$","0","","Official data"
